loss,grad_norm,learning_rate,epoch,step,training_loss,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.2559,9.5281400680542,2.9840000000000002e-05,0.016,10.0,,,,,,,,,,,,,,
1.9241,8.456962585449219,2.968e-05,0.032,20.0,,,,,,,,,,,,,,
1.7898,8.824979782104492,2.9520000000000002e-05,0.048,30.0,,,,,,,,,,,,,,
1.663,8.642794609069824,2.936e-05,0.064,40.0,,,,,,,,,,,,,,
1.6924,11.60445499420166,2.92e-05,0.08,50.0,,,,,,,,,,,,,,
1.5038,9.399824142456055,2.904e-05,0.096,60.0,,,,,,,,,,,,,,
1.429,9.491477012634277,2.888e-05,0.112,70.0,,,,,,,,,,,,,,
1.4174,9.506362915039062,2.8720000000000003e-05,0.128,80.0,,,,,,,,,,,,,,
1.2725,7.371152400970459,2.856e-05,0.144,90.0,,,,,,,,,,,,,,
1.4628,9.05887222290039,2.84e-05,0.16,100.0,,,,,,,,,,,,,,
1.3679,9.03801155090332,2.824e-05,0.176,110.0,,,,,,,,,,,,,,
1.3648,9.325669288635254,2.8080000000000002e-05,0.192,120.0,,,,,,,,,,,,,,
1.3324,7.421780586242676,2.792e-05,0.208,130.0,,,,,,,,,,,,,,
1.4444,6.844178199768066,2.7760000000000002e-05,0.224,140.0,,,,,,,,,,,,,,
1.4813,8.592301368713379,2.7600000000000003e-05,0.24,150.0,,,,,,,,,,,,,,
1.2951,8.33220386505127,2.7439999999999998e-05,0.256,160.0,,,,,,,,,,,,,,
1.349,7.998781681060791,2.728e-05,0.272,170.0,,,,,,,,,,,,,,
1.2707,7.618038177490234,2.712e-05,0.288,180.0,,,,,,,,,,,,,,
1.2699,9.68928050994873,2.696e-05,0.304,190.0,,,,,,,,,,,,,,
1.2909,9.427289962768555,2.68e-05,0.32,200.0,,,,,,,,,,,,,,
1.3346,8.985845565795898,2.6640000000000002e-05,0.336,210.0,,,,,,,,,,,,,,
1.3227,9.137271881103516,2.648e-05,0.352,220.0,,,,,,,,,,,,,,
1.2866,9.715079307556152,2.632e-05,0.368,230.0,,,,,,,,,,,,,,
1.308,8.467782974243164,2.616e-05,0.384,240.0,,,,,,,,,,,,,,
1.3589,8.706347465515137,2.6000000000000002e-05,0.4,250.0,,,,,,,,,,,,,,
1.2681,7.991885662078857,2.584e-05,0.416,260.0,,,,,,,,,,,,,,
1.3194,9.276294708251953,2.568e-05,0.432,270.0,,,,,,,,,,,,,,
1.4106,9.332069396972656,2.552e-05,0.448,280.0,,,,,,,,,,,,,,
1.3101,9.39908218383789,2.536e-05,0.464,290.0,,,,,,,,,,,,,,
1.1926,7.77440071105957,2.52e-05,0.48,300.0,,,,,,,,,,,,,,
1.2665,8.666864395141602,2.504e-05,0.496,310.0,,,,,,,,,,,,,,
1.2734,8.532201766967773,2.4880000000000002e-05,0.512,320.0,,,,,,,,,,,,,,
1.4091,11.195173263549805,2.472e-05,0.528,330.0,,,,,,,,,,,,,,
1.3498,8.679740905761719,2.456e-05,0.544,340.0,,,,,,,,,,,,,,
1.3605,8.353379249572754,2.44e-05,0.56,350.0,,,,,,,,,,,,,,
1.3512,9.598998069763184,2.4240000000000002e-05,0.576,360.0,,,,,,,,,,,,,,
1.4231,9.048778533935547,2.408e-05,0.592,370.0,,,,,,,,,,,,,,
1.3149,8.597623825073242,2.392e-05,0.608,380.0,,,,,,,,,,,,,,
