loss,grad_norm,learning_rate,epoch,step,training_loss,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.9307,4.294613838195801,4.96e-05,0.016,10.0,,,,,,,,,,,,,,
2.5613,4.558666229248047,4.92e-05,0.032,20.0,,,,,,,,,,,,,,
2.6971,3.5205204486846924,4.88e-05,0.048,30.0,,,,,,,,,,,,,,
2.5527,3.140474557876587,4.8400000000000004e-05,0.064,40.0,,,,,,,,,,,,,,
2.6324,2.7795028686523438,4.8e-05,0.08,50.0,,,,,,,,,,,,,,
2.3236,2.684506416320801,4.76e-05,0.096,60.0,,,,,,,,,,,,,,
2.4748,3.0756242275238037,4.72e-05,0.112,70.0,,,,,,,,,,,,,,
2.3857,3.338027000427246,4.6800000000000006e-05,0.128,80.0,,,,,,,,,,,,,,
2.4047,3.178029775619507,4.64e-05,0.144,90.0,,,,,,,,,,,,,,
2.2345,3.127528429031372,4.600000000000001e-05,0.16,100.0,,,,,,,,,,,,,,
2.4401,2.0532312393188477,4.5600000000000004e-05,0.176,110.0,,,,,,,,,,,,,,
2.152,2.6533203125,4.52e-05,0.192,120.0,,,,,,,,,,,,,,
2.1978,2.6924424171447754,4.4800000000000005e-05,0.208,130.0,,,,,,,,,,,,,,
2.4285,2.7980165481567383,4.44e-05,0.224,140.0,,,,,,,,,,,,,,
2.1453,2.6763980388641357,4.4000000000000006e-05,0.24,150.0,,,,,,,,,,,,,,
2.6728,2.232664108276367,4.36e-05,0.256,160.0,,,,,,,,,,,,,,
2.3827,3.6211938858032227,4.32e-05,0.272,170.0,,,,,,,,,,,,,,
2.2496,2.9021267890930176,4.2800000000000004e-05,0.288,180.0,,,,,,,,,,,,,,
2.3052,2.1245031356811523,4.24e-05,0.304,190.0,,,,,,,,,,,,,,
2.2022,2.590019464492798,4.2e-05,0.32,200.0,,,,,,,,,,,,,,
2.3271,2.690927267074585,4.16e-05,0.336,210.0,,,,,,,,,,,,,,
2.6874,3.048229217529297,4.12e-05,0.352,220.0,,,,,,,,,,,,,,
2.2838,2.115116834640503,4.08e-05,0.368,230.0,,,,,,,,,,,,,,
2.6163,3.0903985500335693,4.0400000000000006e-05,0.384,240.0,,,,,,,,,,,,,,
2.3743,3.5175621509552,4e-05,0.4,250.0,,,,,,,,,,,,,,
2.1429,2.3731772899627686,3.960000000000001e-05,0.416,260.0,,,,,,,,,,,,,,
2.1702,2.2928390502929688,3.9200000000000004e-05,0.432,270.0,,,,,,,,,,,,,,
2.0849,2.9569032192230225,3.88e-05,0.448,280.0,,,,,,,,,,,,,,
2.4089,2.7488138675689697,3.8400000000000005e-05,0.464,290.0,,,,,,,,,,,,,,
2.4044,2.2429473400115967,3.8e-05,0.48,300.0,,,,,,,,,,,,,,
2.2721,2.4239044189453125,3.76e-05,0.496,310.0,,,,,,,,,,,,,,
2.6028,2.8587260246276855,3.72e-05,0.512,320.0,,,,,,,,,,,,,,
2.2832,2.710083246231079,3.68e-05,0.528,330.0,,,,,,,,,,,,,,
2.4351,2.3122169971466064,3.6400000000000004e-05,0.544,340.0,,,,,,,,,,,,,,
2.3237,2.7432825565338135,3.6e-05,0.56,350.0,,,,,,,,,,,,,,
2.3642,2.43800950050354,3.56e-05,0.576,360.0,,,,,,,,,,,,,,
2.3251,2.841437816619873,3.52e-05,0.592,370.0,,,,,,,,,,,,,,
2.42,2.8950586318969727,3.48e-05,0.608,380.0,,,,,,,,,,,,,,
2.0396,2.269521474838257,3.4399999999999996e-05,0.624,390.0,,,,,,,,,,,,,,
2.3434,2.869673013687134,3.4000000000000007e-05,0.64,400.0,,,,,,,,,,,,,,
2.1719,2.7107131481170654,3.3600000000000004e-05,0.656,410.0,,,,,,,,,,,,,,
2.2992,3.011683702468872,3.32e-05,0.672,420.0,,,,,,,,,,,,,,
2.2238,2.2551381587982178,3.2800000000000004e-05,0.688,430.0,,,,,,,,,,,,,,
2.5184,2.880873441696167,3.24e-05,0.704,440.0,,,,,,,,,,,,,,
2.1371,2.246840000152588,3.2000000000000005e-05,0.72,450.0,,,,,,,,,,,,,,
2.0648,2.8254916667938232,3.16e-05,0.736,460.0,,,,,,,,,,,,,,
2.2441,2.0764448642730713,3.12e-05,0.752,470.0,,,,,,,,,,,,,,
1.8526,2.8193743228912354,3.08e-05,0.768,480.0,,,,,,,,,,,,,,
2.4953,2.4178054332733154,3.04e-05,0.784,490.0,,,,,,,,,,,,,,
2.3419,3.2599754333496094,3e-05,0.8,500.0,,,,,,,,,,,,,,
2.1446,2.4234368801116943,2.96e-05,0.816,510.0,,,,,,,,,,,,,,
2.1681,2.7101223468780518,2.9199999999999998e-05,0.832,520.0,,,,,,,,,,,,,,
2.1669,2.9599785804748535,2.88e-05,0.848,530.0,,,,,,,,,,,,,,
2.516,2.6951727867126465,2.84e-05,0.864,540.0,,,,,,,,,,,,,,
2.3687,2.5538506507873535,2.8000000000000003e-05,0.88,550.0,,,,,,,,,,,,,,
2.4866,1.737676739692688,2.7600000000000003e-05,0.896,560.0,,,,,,,,,,,,,,
2.3079,3.6150128841400146,2.7200000000000004e-05,0.912,570.0,,,,,,,,,,,,,,
2.3019,2.8581273555755615,2.6800000000000004e-05,0.928,580.0,,,,,,,,,,,,,,
2.3641,2.619001865386963,2.64e-05,0.944,590.0,,,,,,,,,,,,,,
2.2458,2.7297306060791016,2.6000000000000002e-05,0.96,600.0,,,,,,,,,,,,,,
2.2877,2.906937599182129,2.5600000000000002e-05,0.976,610.0,,,,,,,,,,,,,,
2.211,2.5797924995422363,2.5200000000000003e-05,0.992,620.0,,,,,,,,,,,,,,
,,,1.0,,2.211,,,,,,,,,,,,,
,,,1.0,625.0,,2.834388256072998,0.2645,0.1247,0.2281,0.2646,1435.4361,0.488,0.244,,,,,
2.2972,2.140739917755127,2.48e-05,1.008,630.0,,,,,,,,,,,,,,
2.1104,2.28312349319458,2.44e-05,1.024,640.0,,,,,,,,,,,,,,
1.7753,2.7565982341766357,2.4e-05,1.04,650.0,,,,,,,,,,,,,,
2.3754,2.7053415775299072,2.36e-05,1.056,660.0,,,,,,,,,,,,,,
2.0292,2.7736330032348633,2.32e-05,1.072,670.0,,,,,,,,,,,,,,
2.1376,1.9696005582809448,2.2800000000000002e-05,1.088,680.0,,,,,,,,,,,,,,
2.0119,2.760908842086792,2.2400000000000002e-05,1.104,690.0,,,,,,,,,,,,,,
1.977,2.8178303241729736,2.2000000000000003e-05,1.12,700.0,,,,,,,,,,,,,,
2.2791,2.705437660217285,2.16e-05,1.1360000000000001,710.0,,,,,,,,,,,,,,
2.2568,2.368901014328003,2.12e-05,1.152,720.0,,,,,,,,,,,,,,
2.1588,2.4585537910461426,2.08e-05,1.168,730.0,,,,,,,,,,,,,,
2.076,2.8135862350463867,2.04e-05,1.184,740.0,,,,,,,,,,,,,,
2.3767,3.0983941555023193,2e-05,1.2,750.0,,,,,,,,,,,,,,
2.3155,2.659010171890259,1.9600000000000002e-05,1.216,760.0,,,,,,,,,,,,,,
2.165,2.4301598072052,1.9200000000000003e-05,1.232,770.0,,,,,,,,,,,,,,
2.3177,2.8556809425354004,1.88e-05,1.248,780.0,,,,,,,,,,,,,,
2.2153,2.6142735481262207,1.84e-05,1.264,790.0,,,,,,,,,,,,,,
2.2684,2.8467493057250977,1.8e-05,1.28,800.0,,,,,,,,,,,,,,
2.5121,2.7496299743652344,1.76e-05,1.296,810.0,,,,,,,,,,,,,,
2.1378,2.6580770015716553,1.7199999999999998e-05,1.312,820.0,,,,,,,,,,,,,,
1.9231,2.2335939407348633,1.6800000000000002e-05,1.328,830.0,,,,,,,,,,,,,,
2.0824,2.802949905395508,1.6400000000000002e-05,1.3439999999999999,840.0,,,,,,,,,,,,,,
1.7505,2.2809367179870605,1.6000000000000003e-05,1.3599999999999999,850.0,,,,,,,,,,,,,,
2.2437,2.9400382041931152,1.56e-05,1.376,860.0,,,,,,,,,,,,,,
2.4756,2.245269775390625,1.52e-05,1.392,870.0,,,,,,,,,,,,,,
1.8924,2.9942333698272705,1.48e-05,1.408,880.0,,,,,,,,,,,,,,
2.2475,2.340575933456421,1.44e-05,1.424,890.0,,,,,,,,,,,,,,
2.1125,2.47090220451355,1.4000000000000001e-05,1.44,900.0,,,,,,,,,,,,,,
2.2485,2.6992058753967285,1.3600000000000002e-05,1.456,910.0,,,,,,,,,,,,,,
